operator_code,fleet_prefix,listed_bus_count,model_names,across_record_ids
Citybus,V,1,Citybus Ailsa Volvo B55 (V),252
DBTSL,DBAY,175,DBTSL CRRC CSR6780KLEV1R | DBTSL Daewoo BH117L | DBTSL Dennis Dart SLF | DBTSL Enviro 200 | DBTSL Guangtong GTK6125R6D | DBTSL Guangtong GTK6129BEVB | DBTSL MAN 12.240 | DBTSL MAN 13.220 | DBTSL MAN 14.220 | DBTSL MAN 18.310 | DBTSL MAN A66 | DBTSL MAN A84 | DBTSL MAN A95 | DBTSL MAN NL-212 | DBTSL MAN NL-262 | DBTSL MAN NL-263 | DBTSL MAN NL-273 | DBTSL MAN NL323 | DBTSL MAN RR2 | DBTSL Mercedes Benz O405 | DBTSL Mitsubishi Rosa | DBTSL Scania K280IB | DBTSL Toyota Coaster | DBTSL Volvo B7R | DBTSL Volvo B9TL | DBTSL Volvo Olympian 12m,450|388|201|340|448|445|294|226|227|267|395|354|391|220|229|228|300|317|419|392|222|241|383|231|320|360|381
DBTSL,HKR,127,DBTSL Dennis Dart (Carlyle Body) | DBTSL Dennis Dart SLF | DBTSL Isuzu LT112L | DBTSL MAN 13.220 | DBTSL MAN 14.220 | DBTSL MAN 18.310 | DBTSL MAN NL-212 | DBTSL MAN NL-262 | DBTSL MAN NL-263 | DBTSL Mercedes Benz O405 | DBTSL Mercedes Benz O814 | DBTSL Mitsubishi Rosa | DBTSL Nissan Diesel RB80 | DBTSL Toyota Coaster,230|201|224|226|227|267|220|229|228|222|221|225|241|223|231
Fung,,1,Fung Choi Travel Leyland Olympian 12m Coach,94
HACTL,,6,HACTL Dennis Dragon 12m | HACTL Volvo Olympian 12m,10|11
HZMBus,,251,HZMBus MAN A95 | HZMBus MAN RR4 | HZMBus Miscellaneous Fleet | HZMBus Scania K250UB | HZMBus Scania K410CB | HZMBus Scania K410IB | HZMBus Volvo B13R,398|444|403|399|438|404|442
KCM,,18,KCM Dennis Trident 12m | KCM MAN A95,339|363
KCRC,,223,KCRC Dennis Dart (5) | KCRC Dennis Trident 10.6m (7) | KCRC Dennis Trident 11.3m (6) | KCRC Leyland Olympian 11m (2) | KCRC MCW Metrobus 9.7m (1) | KCRC Mitsubishi BM117L (3) | KCRC Mitsubishi MP618N (3) | KCRC Mitsubishi Mk218 (3) | KCRC Mitsubishi Rosa (1) | KCRC Toyota Coaster (1) | KCRC Volvo B10M (4) | KCRC Volvo Olympian 11m (2),102|235|103|96|95|100|99|98|260|259|101|97
KCRC,K,43,KCRC Temporary Bus Fleet (K),104
KMB,ATENU,1726,"KMB Alexander Dennis Enviro 500 MMC 12m (ATENU,E5T) | KMB Alexander Dennis Enviro 500 MMC 12m (New Facelift) (ATENU,TW)",331|366
KMB,D,1115,KMB Daimler CVG5 (Daimler A) (D) | KMB Daimler CVG5DD (Daimler B) (D) | KMB Daimler CVG6-30 (Daimler C) (D) | KMB Daimler CVG6LX-30 (Daimler F) (D) | KMB Daimler CVG6LX-34 (Daimler D) (D) | KMB Daimler CVG6LX-34 (Daimler E) (D) | KMB Daimler Fleetline (D),127|128|129|132|130|131|133
