operator_code,fleet_prefix,model_name,across_record_id,listed_bus_count,source_url
Citybus,,"Citybus Alexander Dennis Enviro 500 MMC 12.8m (63,64,65)",343,301,https://1005.idv.hk/index.php?page=11&p=343
Citybus,,"Citybus Alexander Dennis Enviro 500 MMC 12m (2,599,83,84,85)",335,273,https://1005.idv.hk/index.php?page=11&p=335
Citybus,,Citybus Alexander Dennis Enviro 500 MMC 12m(Cityflyer) (80),329,66,https://1005.idv.hk/index.php?page=11&p=329
Citybus,,Citybus BYD K9R (15),367,3,https://1005.idv.hk/index.php?page=11&p=367
Citybus,,Citybus Dennis Condor 11m Open-topped (3rd hand),211,2,https://1005.idv.hk/index.php?page=11&p=211
Citybus,,Citybus Dennis Dart (3rd hand) (14),82,10,https://1005.idv.hk/index.php?page=11&p=82
Citybus,,Citybus Dennis Dart / Dart SLF (Plaxton Body) (14),80,37,https://1005.idv.hk/index.php?page=11&p=80
Citybus,,Citybus Dennis Dominator,191,3,https://1005.idv.hk/index.php?page=11&p=191
Citybus,,Citybus Dennis Dominator,193,1,https://1005.idv.hk/index.php?page=11&p=193
Citybus,,Citybus Dennis Dragon 10.3m (7),72,40,https://1005.idv.hk/index.php?page=11&p=72
Citybus,,Citybus Dennis Dragon 12m (8),73,93,https://1005.idv.hk/index.php?page=11&p=73
Citybus,,Citybus Dennis Dragon 12m (HACTL),185,4,https://1005.idv.hk/index.php?page=11&p=185
Citybus,,Citybus Dennis Trident 10.3m (8),352,14,https://1005.idv.hk/index.php?page=11&p=352
Citybus,,Citybus Dennis Trident 10.6m (27),89,1,https://1005.idv.hk/index.php?page=11&p=89
Citybus,,"Citybus Dennis Trident 12m (22,23)",87,128,https://1005.idv.hk/index.php?page=11&p=87
Citybus,,Citybus Dennis Trident 12m Coach (21),86,66,https://1005.idv.hk/index.php?page=11&p=86
Citybus,,"Citybus Enviro 400 (310,70)",306,64,https://1005.idv.hk/index.php?page=11&p=306
Citybus,,Citybus Isuzu ECM430 (2),255,1,https://1005.idv.hk/index.php?page=11&p=255
Citybus,,Citybus Leyland Olympian,194,7,https://1005.idv.hk/index.php?page=11&p=194
Citybus,,Citybus Leyland Olympian,195,7,https://1005.idv.hk/index.php?page=11&p=195
Citybus,,Citybus Leyland Olympian 10.4m (2),63,34,https://1005.idv.hk/index.php?page=11&p=63
Citybus,,Citybus Leyland Olympian 11m Coach (1),62,100,https://1005.idv.hk/index.php?page=11&p=62
Citybus,,Citybus Leyland Olympian 12m (3),69,55,https://1005.idv.hk/index.php?page=11&p=69
Citybus,,Citybus Leyland Olympian 12m Coach,59,6,https://1005.idv.hk/index.php?page=11&p=59
Citybus,,Citybus Leyland Olympian 12m Coach (2nd hand) (3),65,5,https://1005.idv.hk/index.php?page=11&p=65
Citybus,,Citybus Leyland Olympian 12m Coach (3),68,11,https://1005.idv.hk/index.php?page=11&p=68
Citybus,,Citybus Leyland Victory,246,11,https://1005.idv.hk/index.php?page=11&p=246
Citybus,,Citybus MAN 24.350 (25),88,2,https://1005.idv.hk/index.php?page=11&p=88
Citybus,,Citybus MAN NL-262 (15),83,86,https://1005.idv.hk/index.php?page=11&p=83
Citybus,,Citybus MCW Metrobus Mk I,196,7,https://1005.idv.hk/index.php?page=11&p=196
Citybus,,Citybus MCW Metrobus Mk I,197,5,https://1005.idv.hk/index.php?page=11&p=197
Citybus,,Citybus Mercedes Benz OF1113 (12),248,12,https://1005.idv.hk/index.php?page=11&p=248
Citybus,,Citybus Mitsubishi MK618N (12),251,1,https://1005.idv.hk/index.php?page=11&p=251
Citybus,,Citybus Mitsubishi MP117K (2),257,1,https://1005.idv.hk/index.php?page=11&p=257
Citybus,,Citybus Mitsubishi Mk117J (12),249,4,https://1005.idv.hk/index.php?page=11&p=249
Citybus,,Citybus Neoplan Norinco BN316 (18),84,6,https://1005.idv.hk/index.php?page=11&p=84
Citybus,,Citybus Nissan 4R95 (2),258,1,https://1005.idv.hk/index.php?page=11&p=258
Citybus,,Citybus Nissan BM115L (2),254,1,https://1005.idv.hk/index.php?page=11&p=254
Citybus,,Citybus Nissan Minibus (2),247,3,https://1005.idv.hk/index.php?page=11&p=247
Citybus,,Citybus Nissan R85H (2),253,22,https://1005.idv.hk/index.php?page=11&p=253
Citybus,,Citybus Nissan U20N (2),256,2,https://1005.idv.hk/index.php?page=11&p=256
Citybus,,Citybus Scania K280UD (89),319,1,https://1005.idv.hk/index.php?page=11&p=319
Citybus,,Citybus Scania K93 (12),250,6,https://1005.idv.hk/index.php?page=11&p=250
Citybus,,Citybus Scania K94UB 6x2 (28),90,2,https://1005.idv.hk/index.php?page=11&p=90
Citybus,,Citybus Training Fleet,318,0,https://1005.idv.hk/index.php?page=11&p=318
Citybus,,Citybus Volvo B10M (12),77,16,https://1005.idv.hk/index.php?page=11&p=77
Citybus,,Citybus Volvo B12 (20),85,5,https://1005.idv.hk/index.php?page=11&p=85
Citybus,,Citybus Volvo B6R/B6LE (13),78,64,https://1005.idv.hk/index.php?page=11&p=78
Citybus,,"Citybus Volvo B8L (521,88)",408,114,https://1005.idv.hk/index.php?page=11&p=408
Citybus,,"Citybus Volvo B9TL 10.4m (2-axle) (320,75)",312,3,https://1005.idv.hk/index.php?page=11&p=312
Citybus,,Citybus Volvo B9TL 11.3m (95),364,68,https://1005.idv.hk/index.php?page=11&p=364
Citybus,,Citybus Volvo B9TL 12.8m (65),355,1,https://1005.idv.hk/index.php?page=11&p=355
Citybus,,Citybus Volvo Olympian 10.4m (2),64,10,https://1005.idv.hk/index.php?page=11&p=64
Citybus,,Citybus Volvo Olympian 11m (9),75,202,https://1005.idv.hk/index.php?page=11&p=75
